embedding,embedding_size,regressor,hyperparams,accuracy_mean,accuracy_min,accuracy_max,accuracy_std,tpr_mean,tpr_min,tpr_max,tpr_std,tnr_mean,tnr_min,tnr_max,tnr_std,precision_mean,precision_min,precision_max,precision_std,recall_mean,recall_min,recall_max,recall_std,g_mean_mean,g_mean_min,g_mean_max,g_mean_std,tn_mean,tn_min,tn_max,tn_std,fp_mean,fp_min,fp_max,fp_std,fn_mean,fn_min,fn_max,fn_std,tp_mean,tp_min,tp_max,tp_std
mxbai,64,mlp,num_layers-2_dropout-0.3,0.9411,0.9401,0.9427,0.0011,0.9472,0.9448,0.9498,0.0023,0.9349,0.9338,0.9360,0.0010,0.9357,0.9348,0.9367,0.0009,0.9472,0.9448,0.9498,0.0023,0.9410,0.9401,0.9427,0.0011,4674.4000,4669,4680,4.8785,325.6000,320,331,4.8785,263.8000,251,276,11.5845,4736.2000,4724,4749,11.5845
mxbai,64,mlp,num_layers-3_dropout-0.1,0.9593,0.9585,0.9604,0.0010,0.9669,0.9636,0.9716,0.0034,0.9517,0.9458,0.9572,0.0041,0.9525,0.9472,0.9575,0.0037,0.9669,0.9636,0.9716,0.0034,0.9593,0.9585,0.9604,0.0010,4758.6000,4729,4786,20.3052,241.4000,214,271,20.3052,165.4000,142,182,16.8167,4834.6000,4818,4858,16.8167
mxbai,64,mlp,num_layers-3_dropout-0.2,0.9580,0.9570,0.9594,0.0009,0.9659,0.9624,0.9706,0.0030,0.9501,0.9434,0.9532,0.0039,0.9509,0.9449,0.9536,0.0035,0.9659,0.9624,0.9706,0.0030,0.9579,0.9569,0.9594,0.0009,4750.4000,4717,4766,19.5780,249.6000,234,283,19.5780,170.6000,147,188,14.9766,4829.4000,4812,4853,14.9766
mxbai,64,mlp,num_layers-3_dropout-0.3,0.9553,0.9532,0.9572,0.0015,0.9624,0.9606,0.9646,0.0016,0.9483,0.9418,0.9512,0.0038,0.9490,0.9431,0.9518,0.0034,0.9624,0.9606,0.9646,0.0016,0.9553,0.9531,0.9572,0.0015,4741.4000,4709,4756,18.7697,258.6000,244,291,18.7697,188.2000,177,197,7.7910,4811.8000,4803,4823,7.7910
mxbai,64,naive_bayes,none-e,0.9103,0.9103,0.9103,,0.9282,0.9282,0.9282,,0.8924,0.8924,0.8924,,0.8961,0.8961,0.8961,,0.9282,0.9282,0.9282,,0.9101,0.9101,0.9101,,4462.0000,4462,4462,,538.0000,538,538,,359.0000,359,359,,4641.0000,4641,4641,
mxbai,64,naive_bayes,none-n,0.9103,0.9103,0.9103,0.0000,0.9282,0.9282,0.9282,0.0000,0.8924,0.8924,0.8924,0.0000,0.8961,0.8961,0.8961,0.0000,0.9282,0.9282,0.9282,0.0000,0.9101,0.9101,0.9101,0.0000,4462.0000,4462,4462,0.0000,538.0000,538,538,0.0000,359.0000,359,359,0.0000,4641.0000,4641,4641,0.0000
mxbai,64,naive_bayes,none-o,0.9103,0.9103,0.9103,,0.9282,0.9282,0.9282,,0.8924,0.8924,0.8924,,0.8961,0.8961,0.8961,,0.9282,0.9282,0.9282,,0.9101,0.9101,0.9101,,4462.0000,4462,4462,,538.0000,538,538,,359.0000,359,359,,4641.0000,4641,4641,
mxbai,64,random_forest,n_estimators-100,0.9443,0.9424,0.9456,0.0012,0.9536,0.9512,0.9552,0.0015,0.9350,0.9336,0.9376,0.0016,0.9362,0.9347,0.9386,0.0015,0.9536,0.9512,0.9552,0.0015,0.9443,0.9424,0.9456,0.0012,4675.2000,4668,4688,8.0747,324.8000,312,332,8.0747,231.8000,224,244,7.4297,4768.2000,4756,4776,7.4297
mxbai,64,random_forest,n_estimators-200,0.9460,0.9450,0.9470,0.0009,0.9571,0.9564,0.9582,0.0007,0.9348,0.9330,0.9370,0.0017,0.9363,0.9346,0.9382,0.0015,0.9571,0.9564,0.9582,0.0007,0.9459,0.9449,0.9469,0.0009,4674.2000,4665,4685,8.2885,325.8000,315,335,8.2885,214.4000,209,218,3.3615,4785.6000,4782,4791,3.3615
mxbai,64,random_forest,n_estimators-80,0.9439,0.9435,0.9442,0.0003,0.9528,0.9516,0.9546,0.0013,0.9350,0.9338,0.9364,0.0010,0.9361,0.9351,0.9374,0.0009,0.9528,0.9516,0.9546,0.0013,0.9438,0.9435,0.9441,0.0003,4675.0000,4669,4682,5.2440,325.0000,318,331,5.2440,236.2000,227,242,6.4187,4763.8000,4758,4773,6.4187
mxbai,64,svm,kernel-linear,0.9324,0.9324,0.9324,,0.9380,0.9380,0.9380,,0.9268,0.9268,0.9268,,0.9276,0.9276,0.9276,,0.9380,0.9380,0.9380,,0.9324,0.9324,0.9324,,4634.0000,4634,4634,,366.0000,366,366,,310.0000,310,310,,4690.0000,4690,4690,
mxbai,64,svm,kernel-poly,0.9683,0.9683,0.9683,,0.9774,0.9774,0.9774,,0.9592,0.9592,0.9592,,0.9599,0.9599,0.9599,,0.9774,0.9774,0.9774,,0.9683,0.9683,0.9683,,4796.0000,4796,4796,,204.0000,204,204,,113.0000,113,113,,4887.0000,4887,4887,
mxbai,64,svm,kernel-rbf,0.9654,0.9654,0.9654,,0.9742,0.9742,0.9742,,0.9566,0.9566,0.9566,,0.9574,0.9574,0.9574,,0.9742,0.9742,0.9742,,0.9654,0.9654,0.9654,,4783.0000,4783,4783,,217.0000,217,217,,129.0000,129,129,,4871.0000,4871,4871,
mxbai,64,svm,kernel-sigmoid,0.8764,0.8764,0.8764,,0.8786,0.8786,0.8786,,0.8742,0.8742,0.8742,,0.8748,0.8748,0.8748,,0.8786,0.8786,0.8786,,0.8764,0.8764,0.8764,,4371.0000,4371,4371,,629.0000,629,629,,607.0000,607,607,,4393.0000,4393,4393,
nomic128,128,logistic_regression,max_iter-100,0.9578,0.9578,0.9578,,0.9662,0.9662,0.9662,,0.9494,0.9494,0.9494,,0.9502,0.9502,0.9502,,0.9662,0.9662,0.9662,,0.9578,0.9578,0.9578,,4747.0000,4747,4747,,253.0000,253,253,,169.0000,169,169,,4831.0000,4831,4831,
nomic128,128,logistic_regression,max_iter-50,0.9578,0.9578,0.9578,,0.9662,0.9662,0.9662,,0.9494,0.9494,0.9494,,0.9502,0.9502,0.9502,,0.9662,0.9662,0.9662,,0.9578,0.9578,0.9578,,4747.0000,4747,4747,,253.0000,253,253,,169.0000,169,169,,4831.0000,4831,4831,
nomic128,128,logistic_regression,max_iter-500,0.9578,0.9578,0.9578,,0.9662,0.9662,0.9662,,0.9494,0.9494,0.9494,,0.9502,0.9502,0.9502,,0.9662,0.9662,0.9662,,0.9578,0.9578,0.9578,,4747.0000,4747,4747,,253.0000,253,253,,169.0000,169,169,,4831.0000,4831,4831,
nomic128,128,mlp,num_layers-2_dropout-0.1,0.9664,0.9653,0.9682,0.0011,0.9712,0.9654,0.9752,0.0036,0.9617,0.9602,0.9652,0.0021,0.9620,0.9606,0.9652,0.0019,0.9712,0.9654,0.9752,0.0036,0.9664,0.9653,0.9682,0.0011,4808.4000,4801,4826,10.3102,191.6000,174,199,10.3102,144.2000,124,173,17.7820,4855.8000,4827,4876,17.7820
nomic128,128,mlp,num_layers-2_dropout-0.2,0.9661,0.9647,0.9679,0.0013,0.9707,0.9640,0.9758,0.0043,0.9614,0.9592,0.9654,0.0024,0.9618,0.9597,0.9654,0.0022,0.9707,0.9640,0.9758,0.0043,0.9660,0.9647,0.9679,0.0013,4807.2000,4796,4827,12.1943,192.8000,173,204,12.1943,146.6000,121,180,21.3846,4853.4000,4820,4879,21.3846
nomic128,128,mlp,num_layers-2_dropout-0.3,0.9662,0.9653,0.9669,0.0006,0.9710,0.9656,0.9748,0.0033,0.9613,0.9590,0.9650,0.0023,0.9617,0.9596,0.9650,0.0021,0.9710,0.9656,0.9748,0.0033,0.9661,0.9653,0.9669,0.0006,4806.6000,4795,4825,11.6319,193.4000,175,205,11.6319,145.0000,126,172,16.7332,4855.0000,4828,4874,16.7332
nomic128,128,mlp,num_layers-3_dropout-0.1,0.9790,0.9771,0.9808,0.0014,0.9817,0.9726,0.9880,0.0057,0.9762,0.9694,0.9816,0.0044,0.9764,0.9700,0.9814,0.0041,0.9817,0.9726,0.9880,0.0057,0.9790,0.9771,0.9808,0.0014,4881.2000,4847,4908,21.9704,118.8000,92,153,21.9704,91.4000,60,137,28.5535,4908.6000,4863,4940,28.5535
nomic128,128,mlp,num_layers-3_dropout-0.2,0.9785,0.9766,0.9802,0.0014,0.9818,0.9746,0.9862,0.0044,0.9753,0.9716,0.9786,0.0027,0.9755,0.9720,0.9785,0.0025,0.9818,0.9746,0.9862,0.0044,0.9785,0.9766,0.9802,0.0014,4876.4000,4858,4893,13.5019,123.6000,107,142,13.5019,91.2000,69,127,21.8906,4908.8000,4873,4931,21.8906
nomic128,128,mlp,num_layers-3_dropout-0.3,0.9776,0.9767,0.9797,0.0012,0.9814,0.9768,0.9846,0.0031,0.9738,0.9706,0.9766,0.0022,0.9740,0.9710,0.9766,0.0021,0.9814,0.9768,0.9846,0.0031,0.9776,0.9767,0.9797,0.0012,4869.2000,4853,4883,11.1445,130.8000,117,147,11.1445,93.2000,77,116,15.3851,4906.8000,4884,4923,15.3851
nomic128,128,naive_bayes,none-e,0.9142,0.9142,0.9142,,0.9254,0.9254,0.9254,,0.9030,0.9030,0.9030,,0.9051,0.9051,0.9051,,0.9254,0.9254,0.9254,,0.9141,0.9141,0.9141,,4515.0000,4515,4515,,485.0000,485,485,,373.0000,373,373,,4627.0000,4627,4627,
nomic128,128,naive_bayes,none-n,0.9142,0.9142,0.9142,0.0000,0.9254,0.9254,0.9254,0.0000,0.9030,0.9030,0.9030,0.0000,0.9051,0.9051,0.9051,0.0000,0.9254,0.9254,0.9254,0.0000,0.9141,0.9141,0.9141,0.0000,4515.0000,4515,4515,0.0000,485.0000,485,485,0.0000,373.0000,373,373,0.0000,4627.0000,4627,4627,0.0000
nomic128,128,naive_bayes,none-o,0.9142,0.9142,0.9142,,0.9254,0.9254,0.9254,,0.9030,0.9030,0.9030,,0.9051,0.9051,0.9051,,0.9254,0.9254,0.9254,,0.9141,0.9141,0.9141,,4515.0000,4515,4515,,485.0000,485,485,,373.0000,373,373,,4627.0000,4627,4627,
nomic128,128,random_forest,n_estimators-100,0.9596,0.9580,0.9612,0.0015,0.9634,0.9602,0.9656,0.0023,0.9558,0.9542,0.9568,0.0010,0.9561,0.9545,0.9572,0.0010,0.9634,0.9602,0.9656,0.0023,0.9596,0.9580,0.9612,0.0015,4778.8000,4771,4784,4.7645,221.2000,216,229,4.7645,183.0000,172,199,11.7260,4817.0000,4801,4828,11.7260
nomic128,128,random_forest,n_estimators-200,0.9603,0.9592,0.9615,0.0010,0.9646,0.9628,0.9658,0.0014,0.9560,0.9550,0.9572,0.0009,0.9564,0.9554,0.9576,0.0009,0.9646,0.9628,0.9658,0.0014,0.9603,0.9592,0.9615,0.0010,4780.2000,4775,4786,4.4385,219.8000,214,225,4.4385,177.2000,171,186,6.8337,4822.8000,4814,4829,6.8337
nomic128,128,random_forest,n_estimators-80,0.9594,0.9572,0.9610,0.0015,0.9630,0.9590,0.9656,0.0026,0.9559,0.9546,0.9576,0.0012,0.9562,0.9551,0.9578,0.0011,0.9630,0.9590,0.9656,0.0026,0.9594,0.9572,0.9610,0.0015,4779.4000,4773,4788,5.7706,220.6000,212,227,5.7706,185.0000,172,205,13.0958,4815.0000,4795,4828,13.0958
nomic128,128,svm,kernel-linear,0.9613,0.9613,0.9613,,0.9688,0.9688,0.9688,,0.9538,0.9538,0.9538,,0.9545,0.9545,0.9545,,0.9688,0.9688,0.9688,,0.9613,0.9613,0.9613,,4769.0000,4769,4769,,231.0000,231,231,,156.0000,156,156,,4844.0000,4844,4844,
nomic128,128,svm,kernel-poly,0.9860,0.9860,0.9860,,0.9898,0.9898,0.9898,,0.9822,0.9822,0.9822,,0.9823,0.9823,0.9823,,0.9898,0.9898,0.9898,,0.9860,0.9860,0.9860,,4911.0000,4911,4911,,89.0000,89,89,,51.0000,51,51,,4949.0000,4949,4949,
nomic128,128,svm,kernel-rbf,0.9825,0.9825,0.9825,,0.9880,0.9880,0.9880,,0.9770,0.9770,0.9770,,0.9773,0.9773,0.9773,,0.9880,0.9880,0.9880,,0.9825,0.9825,0.9825,,4885.0000,4885,4885,,115.0000,115,115,,60.0000,60,60,,4940.0000,4940,4940,
nomic128,128,svm,kernel-sigmoid,0.9265,0.9265,0.9265,,0.9286,0.9286,0.9286,,0.9244,0.9244,0.9244,,0.9247,0.9247,0.9247,,0.9286,0.9286,0.9286,,0.9265,0.9265,0.9265,,4622.0000,4622,4622,,378.0000,378,378,,357.0000,357,357,,4643.0000,4643,4643,
nomic256,256,logistic_regression,max_iter-100,0.9748,0.9748,0.9748,,0.9794,0.9794,0.9794,,0.9702,0.9702,0.9702,,0.9705,0.9705,0.9705,,0.9794,0.9794,0.9794,,0.9748,0.9748,0.9748,,4851.0000,4851,4851,,149.0000,149,149,,103.0000,103,103,,4897.0000,4897,4897,
nomic256,256,logistic_regression,max_iter-50,0.9748,0.9748,0.9748,,0.9794,0.9794,0.9794,,0.9702,0.9702,0.9702,,0.9705,0.9705,0.9705,,0.9794,0.9794,0.9794,,0.9748,0.9748,0.9748,,4851.0000,4851,4851,,149.0000,149,149,,103.0000,103,103,,4897.0000,4897,4897,
nomic256,256,logistic_regression,max_iter-500,0.9748,0.9748,0.9748,,0.9794,0.9794,0.9794,,0.9702,0.9702,0.9702,,0.9705,0.9705,0.9705,,0.9794,0.9794,0.9794,,0.9748,0.9748,0.9748,,4851.0000,4851,4851,,149.0000,149,149,,103.0000,103,103,,4897.0000,4897,4897,
nomic256,256,mlp,num_layers-2_dropout-0.1,0.9790,0.9775,0.9798,0.0009,0.9797,0.9734,0.9832,0.0040,0.9783,0.9760,0.9816,0.0024,0.9784,0.9762,0.9814,0.0022,0.9797,0.9734,0.9832,0.0040,0.9790,0.9775,0.9798,0.0009,4891.6000,4880,4908,11.8025,108.4000,92,120,11.8025,101.4000,84,133,19.8318,4898.6000,4867,4916,19.8318
nomic256,256,mlp,num_layers-2_dropout-0.2,0.9786,0.9771,0.9793,0.0009,0.9791,0.9726,0.9826,0.0040,0.9781,0.9760,0.9816,0.0025,0.9782,0.9762,0.9814,0.0023,0.9791,0.9726,0.9826,0.0040,0.9786,0.9771,0.9793,0.0009,4890.6000,4880,4908,12.2801,109.4000,92,120,12.2801,104.6000,87,137,19.7560,4895.4000,4863,4913,19.7560
nomic256,256,mlp,num_layers-2_dropout-0.3,0.9781,0.9772,0.9785,0.0005,0.9786,0.9738,0.9816,0.0031,0.9776,0.9752,0.9806,0.0022,0.9777,0.9754,0.9805,0.0021,0.9786,0.9738,0.9816,0.0031,0.9781,0.9772,0.9785,0.0005,4888.2000,4876,4903,10.9864,111.8000,97,124,10.9864,107.0000,92,131,15.4434,4893.0000,4869,4908,15.4434
nomic256,256,mlp,num_layers-3_dropout-0.1,0.9855,0.9842,0.9862,0.0008,0.9861,0.9834,0.9882,0.0018,0.9848,0.9840,0.9866,0.0011,0.9849,0.9840,0.9866,0.0010,0.9861,0.9834,0.9882,0.0018,0.9855,0.9842,0.9862,0.0008,4924.2000,4920,4933,5.2631,75.8000,67,80,5.2631,69.6000,59,83,8.9889,4930.4000,4917,4941,8.9889
nomic256,256,mlp,num_layers-3_dropout-0.2,0.9853,0.9842,0.9860,0.0007,0.9862,0.9840,0.9892,0.0019,0.9845,0.9828,0.9864,0.0013,0.9845,0.9829,0.9864,0.0013,0.9862,0.9840,0.9892,0.0019,0.9853,0.9842,0.9860,0.0007,4922.6000,4914,4932,6.6182,77.4000,68,86,6.6182,69.2000,54,80,9.6540,4930.8000,4920,4946,9.6540
nomic256,256,mlp,num_layers-3_dropout-0.3,0.9849,0.9842,0.9855,0.0006,0.9858,0.9850,0.9876,0.0010,0.9840,0.9812,0.9856,0.0019,0.9840,0.9813,0.9856,0.0019,0.9858,0.9850,0.9876,0.0010,0.9849,0.9842,0.9855,0.0006,4919.8000,4906,4928,9.6021,80.2000,72,94,9.6021,71.0000,62,75,5.1478,4929.0000,4925,4938,5.1478
nomic256,256,naive_bayes,none-e,0.9402,0.9402,0.9402,,0.9608,0.9608,0.9608,,0.9196,0.9196,0.9196,,0.9228,0.9228,0.9228,,0.9608,0.9608,0.9608,,0.9400,0.9400,0.9400,,4598.0000,4598,4598,,402.0000,402,402,,196.0000,196,196,,4804.0000,4804,4804,
nomic256,256,naive_bayes,none-n,0.9402,0.9402,0.9402,0.0000,0.9608,0.9608,0.9608,0.0000,0.9196,0.9196,0.9196,0.0000,0.9228,0.9228,0.9228,0.0000,0.9608,0.9608,0.9608,0.0000,0.9400,0.9400,0.9400,0.0000,4598.0000,4598,4598,0.0000,402.0000,402,402,0.0000,196.0000,196,196,0.0000,4804.0000,4804,4804,0.0000
nomic256,256,naive_bayes,none-o,0.9402,0.9402,0.9402,,0.9608,0.9608,0.9608,,0.9196,0.9196,0.9196,,0.9228,0.9228,0.9228,,0.9608,0.9608,0.9608,,0.9400,0.9400,0.9400,,4598.0000,4598,4598,,402.0000,402,402,,196.0000,196,196,,4804.0000,4804,4804,
nomic256,256,random_forest,n_estimators-100,0.9698,0.9690,0.9706,0.0008,0.9762,0.9746,0.9776,0.0014,0.9634,0.9620,0.9642,0.0008,0.9638,0.9626,0.9647,0.0008,0.9762,0.9746,0.9776,0.0014,0.9697,0.9690,0.9706,0.0008,4816.8000,4810,4821,4.2071,183.2000,179,190,4.2071,119.2000,112,127,6.8337,4880.8000,4873,4888,6.8337
nomic256,256,random_forest,n_estimators-200,0.9713,0.9701,0.9726,0.0011,0.9794,0.9780,0.9812,0.0013,0.9632,0.9618,0.9646,0.0011,0.9637,0.9624,0.9651,0.0011,0.9794,0.9780,0.9812,0.0013,0.9712,0.9701,0.9726,0.0011,4815.8000,4809,4823,5.7184,184.2000,177,191,5.7184,103.0000,94,110,6.3246,4897.0000,4890,4906,6.3246
nomic256,256,random_forest,n_estimators-80,0.9686,0.9670,0.9703,0.0013,0.9750,0.9730,0.9778,0.0020,0.9622,0.9606,0.9638,0.0014,0.9627,0.9612,0.9641,0.0013,0.9750,0.9730,0.9778,0.0020,0.9686,0.9670,0.9703,0.0013,4811.2000,4803,4819,6.8702,188.8000,181,197,6.8702,125.2000,111,135,10.0349,4874.8000,4865,4889,10.0349
nomic256,256,svm,kernel-linear,0.9807,0.9807,0.9807,,0.9832,0.9832,0.9832,,0.9782,0.9782,0.9782,,0.9783,0.9783,0.9783,,0.9832,0.9832,0.9832,,0.9807,0.9807,0.9807,,4891.0000,4891,4891,,109.0000,109,109,,84.0000,84,84,,4916.0000,4916,4916,
nomic256,256,svm,kernel-poly,0.9906,0.9906,0.9906,,0.9918,0.9918,0.9918,,0.9894,0.9894,0.9894,,0.9894,0.9894,0.9894,,0.9918,0.9918,0.9918,,0.9906,0.9906,0.9906,,4947.0000,4947,4947,,53.0000,53,53,,41.0000,41,41,,4959.0000,4959,4959,
nomic256,256,svm,kernel-rbf,0.9883,0.9883,0.9883,,0.9902,0.9902,0.9902,,0.9864,0.9864,0.9864,,0.9865,0.9865,0.9865,,0.9902,0.9902,0.9902,,0.9883,0.9883,0.9883,,4932.0000,4932,4932,,68.0000,68,68,,49.0000,49,49,,4951.0000,4951,4951,
nomic256,256,svm,kernel-sigmoid,0.9594,0.9594,0.9594,,0.9674,0.9674,0.9674,,0.9514,0.9514,0.9514,,0.9522,0.9522,0.9522,,0.9674,0.9674,0.9674,,0.9594,0.9594,0.9594,,4757.0000,4757,4757,,243.0000,243,243,,163.0000,163,163,,4837.0000,4837,4837,
nomic512,512,logistic_regression,max_iter-100,0.9802,0.9802,0.9802,,0.9846,0.9846,0.9846,,0.9758,0.9758,0.9758,,0.9760,0.9760,0.9760,,0.9846,0.9846,0.9846,,0.9802,0.9802,0.9802,,4879.0000,4879,4879,,121.0000,121,121,,77.0000,77,77,,4923.0000,4923,4923,
nomic512,512,logistic_regression,max_iter-50,0.9802,0.9802,0.9802,,0.9846,0.9846,0.9846,,0.9758,0.9758,0.9758,,0.9760,0.9760,0.9760,,0.9846,0.9846,0.9846,,0.9802,0.9802,0.9802,,4879.0000,4879,4879,,121.0000,121,121,,77.0000,77,77,,4923.0000,4923,4923,
nomic512,512,logistic_regression,max_iter-500,0.9802,0.9802,0.9802,,0.9846,0.9846,0.9846,,0.9758,0.9758,0.9758,,0.9760,0.9760,0.9760,,0.9846,0.9846,0.9846,,0.9802,0.9802,0.9802,,4879.0000,4879,4879,,121.0000,121,121,,77.0000,77,77,,4923.0000,4923,4923,
nomic512,512,mlp,num_layers-2_dropout-0.1,0.9847,0.9839,0.9851,0.0005,0.9850,0.9810,0.9876,0.0025,0.9844,0.9826,0.9868,0.0015,0.9844,0.9827,0.9867,0.0015,0.9850,0.9810,0.9876,0.0025,0.9847,0.9839,0.9851,0.0005,4921.8000,4913,4934,7.6616,78.2000,66,87,7.6616,75.2000,62,95,12.4780,4924.8000,4905,4938,12.4780
nomic512,512,mlp,num_layers-2_dropout-0.2,0.9846,0.9838,0.9854,0.0006,0.9848,0.9808,0.9880,0.0026,0.9843,0.9828,0.9868,0.0015,0.9843,0.9829,0.9867,0.0015,0.9848,0.9808,0.9880,0.0026,0.9846,0.9838,0.9854,0.0006,4921.6000,4914,4934,7.6354,78.4000,66,86,7.6354,76.0000,60,96,13.1339,4924.0000,4904,4940,13.1339
nomic512,512,mlp,num_layers-2_dropout-0.3,0.9842,0.9830,0.9851,0.0008,0.9844,0.9794,0.9874,0.0030,0.9840,0.9828,0.9866,0.0016,0.9841,0.9829,0.9865,0.0016,0.9844,0.9794,0.9874,0.0030,0.9842,0.9830,0.9851,0.0008,4920.2000,4914,4933,8.2280,79.8000,67,86,8.2280,78.2000,63,103,15.0233,4921.8000,4897,4937,15.0233
nomic512,512,mlp,num_layers-3_dropout-0.1,0.9887,0.9879,0.9897,0.0007,0.9876,0.9830,0.9900,0.0027,0.9899,0.9870,0.9928,0.0021,0.9899,0.9870,0.9927,0.0021,0.9876,0.9830,0.9900,0.0027,0.9887,0.9879,0.9897,0.0007,4949.4000,4935,4964,10.5972,50.6000,36,65,10.5972,62.2000,50,85,13.6088,4937.8000,4915,4950,13.6088
nomic512,512,mlp,num_layers-3_dropout-0.2,0.9886,0.9878,0.9896,0.0007,0.9873,0.9834,0.9896,0.0025,0.9898,0.9876,0.9922,0.0018,0.9898,0.9876,0.9921,0.0017,0.9873,0.9834,0.9896,0.0025,0.9886,0.9878,0.9896,0.0007,4949.2000,4938,4961,8.7579,50.8000,39,62,8.7579,63.6000,52,83,12.6016,4936.4000,4917,4948,12.6016
nomic512,512,mlp,num_layers-3_dropout-0.3,0.9885,0.9880,0.9898,0.0008,0.9879,0.9842,0.9908,0.0024,0.9891,0.9876,0.9918,0.0016,0.9891,0.9876,0.9917,0.0016,0.9879,0.9842,0.9908,0.0024,0.9885,0.9880,0.9898,0.0008,4945.6000,4938,4959,7.9561,54.4000,41,62,7.9561,60.6000,46,79,11.8237,4939.4000,4921,4954,11.8237
nomic512,512,naive_bayes,none-e,0.9443,0.9443,0.9443,,0.9668,0.9668,0.9668,,0.9218,0.9218,0.9218,,0.9252,0.9252,0.9252,,0.9668,0.9668,0.9668,,0.9440,0.9440,0.9440,,4609.0000,4609,4609,,391.0000,391,391,,166.0000,166,166,,4834.0000,4834,4834,
nomic512,512,naive_bayes,none-n,0.9443,0.9443,0.9443,0.0000,0.9668,0.9668,0.9668,0.0000,0.9218,0.9218,0.9218,0.0000,0.9252,0.9252,0.9252,0.0000,0.9668,0.9668,0.9668,0.0000,0.9440,0.9440,0.9440,0.0000,4609.0000,4609,4609,0.0000,391.0000,391,391,0.0000,166.0000,166,166,0.0000,4834.0000,4834,4834,0.0000
